dataset,k,subset,reconstruction_mse,reconstruction_mse,accuracy,accuracy,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1
,,,mean,std,mean,std,mean,std,mean,std
activity,50,supervised_cae,0.4459332704544067,0.03325646592036837,0.9212621359223301,0.011235531012406064,0.9208998275726479,0.012090423681336738,0.921269144110495,0.011968088597360985
activity,50,unsupervised_cae,0.2753195405006409,0.008308119561772038,0.9063106796116506,0.02126246841075314,0.9066096161952917,0.020085622004851852,0.9069237282318241,0.02016540976789985
coil20,50,supervised_cae,3290096.0,341274.741534222,0.4997429305912596,0.022747374607330534,0.36782316622855465,0.011362416957138504,0.3481136184563075,0.025335585438761132
coil20,50,unsupervised_cae,0.48513236045837405,0.1521077617492901,0.49100257069408737,0.01553090742107271,0.2586270519603853,0.011914378767943979,0.22822026173788917,0.019057823442442938
fashion_mnist,50,supervised_cae,0.022400660440325737,0.00042382509679666055,0.804342857142857,0.002324119319709065,0.8043428571428572,0.0023241193197090716,0.8027257957184395,0.002539010715126397
fashion_mnist,50,unsupervised_cae,0.01944330520927906,0.00031176387746596106,0.7957,0.002756902284101042,0.7957,0.002756902284100976,0.7939133794069028,0.0030728357110263163
isolet,50,supervised_cae,0.48496765494346616,0.014761575501428452,0.8433333333333334,0.011328212673094753,0.8433333333333334,0.011328212673094688,0.8424993659032161,0.01136861178969828
isolet,50,unsupervised_cae,0.40623483061790466,0.00779789106814746,0.8028205128205128,0.020971435756421918,0.8028205128205128,0.02097143575642198,0.8021414536345729,0.020274368690027498
mice_protein,10,supervised_cae,0.4254793584346771,0.04282106749447744,0.6305555555555555,0.09021246450305347,0.6266931216931216,0.09294544445608245,0.6225974161656616,0.09986917213418875
mice_protein,10,unsupervised_cae,0.4441599726676941,0.02857315180688255,0.5972222222222222,0.08765785291093281,0.5956216931216931,0.089200986155451,0.5941604954772928,0.08844089443473861
mnist,50,supervised_cae,0.02358790971338749,0.000449838144861458,0.8736,0.003811435532227514,0.8717776608810144,0.00388371312887056,0.8716185750270903,0.0038716070154236285
mnist,50,unsupervised_cae,0.01944522187113762,0.0002100876921488716,0.864857142857143,0.005082733877891831,0.8625963082060558,0.005222179899003392,0.8624342261354091,0.005212857539645565
